nace_r2,na_item,geo\TIME_PERIOD,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
TOTAL,B1G,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839137.0,1853026.2,1875595.0,1884011.6,1878094.5,1894198.6,1901722.2,1910809.0,1916554.6,1939066.4,1954085.7,1978296.7,1988731.0,1997749.9,2010402.4,2014566.9,2032661.8,2042894.9,2065096.4,2089369.7,2117192.0,2137437.6,2151472.4,2167917.6,2187448.6,2187828.3,2193168.5,2197549.4,2202219.8,2213422.9,2220462.2,2227516.6,2222697.1,2223200.2,2237178.1,2255300.7,2269206.5,2287758.8,2292791.0,2303257.5,2306597.7,2323459.9,2337525.4,2356064.6,2378174.9,2407309.5,2423445.2,2449710.2,2470353.6,2489524.0,2503181.1,2519757.9,2536639.1,2531599.7,2520086.0,2474303.2,2403335.9,2400445.4,2411304.9,2419519.8,2433664.4,2453650.3,2465750.2,2481603.2,2506305.4,2508293.3,2514883.1,2505946.7,2502196.5,2499174.6,2496538.2,2486236.8,2481967.6,2493800.9,2502258.8,2511775.2,2524416.0,2528568.7,2543788.1,2553050.7,2570708.6,2581402.0,2595084.8,2606306.4,2618345.1,2626412.5,2640097.3,2660969.8,2681966.4,2703951.8,2728847.2,2749440.3,2753351.3,2768112.9,2772703.3,2791512.0,2810078.4,2818961.8,2826792.0,2827450.7,2753967.0,2441557.6,2722605.0,2715847.5,2729310.0,2772768.5,2837760.8,2849731.2,2877942.1,2894656.6,2914170.6
TOTAL,B1G,EU28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148105.4,2152099.4,2178164.9,2183055.1,2184953.4,2202531.5,2212399.7,2222965.8,2232070.7,2256902.5,2273577.3,2300923.9,2314417.5,2326255.7,2341723.3,2349733.3,2369242.4,2379452.8,2406949.1,2436139.8,2467323.1,2490376.8,2506226.5,2523892.9,2547293.5,2550799.4,2558729.5,2564278.6,2571168.1,2584115.7,2594157.6,2604631.0,2603642.2,2608759.6,2627599.8,2649187.6,2664274.5,2683989.7,2689980.0,2702044.0,2709902.9,2732262.0,2751574.0,2777054.9,2799975.2,2829026.5,2844988.0,2871758.5,2896399.0,2917941.2,2935578.4,2955458.6,2974487.2,2966642.1,2946633.5,2891831.1,2814929.3,2811398.9,2823213.5,2832760.7,2849676.4,2874608.1,2890318.5,2906250.3,2932591.9,2935360.4,2943673.0,2935798.7,2934268.8,2930550.7,2933028.2,2922356.0,2921011.6,2936094.6,2948558.2,2961148.7,2977180.3,2984463.2,3002611.1,3014534.2,3034011.7,3048126.0,3063460.1,3077461.4,3090566.2,3100835.5,3115353.7,3138784.7,3162061.2,3185776.0,3212773.1,3234968.1,3239446.6,3255861.5,3263696.6,3283886.1,3305020.4,3314578.3,3324920.9,3325717.5,,,,,,,,,,,
TOTAL,B1G,EU15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006737.6,2010834.2,2036802.0,2043872.2,2040367.5,2056556.4,2065693.1,2077376.6,2084114.5,2107608.5,2123576.2,2149485.9,2161649.4,2173082.0,2187534.0,2194766.4,2213619.1,2222911.8,2248690.2,2276185.0,2305399.3,2326653.0,2341919.4,2357796.9,2379828.4,2382819.6,2389573.9,2394098.1,2399414.6,2411199.6,2419963.6,2429037.9,2427192.7,2430705.4,2446975.0,2466958.0,2479505.8,2496642.7,2501103.6,2511103.9,2518420.4,2536590.6,2554613.3,2577368.2,2596491.8,2622107.1,2635091.9,2660468.4,2679882.8,2699437.8,2714497.6,2731175.1,2746376.3,2736774.3,2717054.6,2664676.6,2593776.9,2590394.0,2600263.2,2609361.2,2626883.3,2650113.1,2664370.2,2677792.8,2702369.8,2703097.0,2709720.2,2701258.9,2699892.4,2696132.0,2698966.5,2687956.6,2687747.4,2701070.9,2712372.5,2723130.9,2736654.5,2742501.4,2758445.4,2768281.9,2784848.1,2797186.1,2809216.8,2821133.2,2834556.1,2842381.4,2855432.3,2874999.8,2893534.1,2914753.8,2938766.4,2958079.8,2958192.3,2971563.9,2975751.5,2993500.0,3010948.6,3018111.2,3026600.2,3026035.0,,,,,,,,,,,
TOTAL,B1G,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568083.9,1583069.1,1600213.7,1611169.4,1600463.5,1614261.6,1620310.0,1629782.6,1632174.5,1651149.3,1664252.7,1685653.3,1693339.9,1701145.3,1711502.6,1713911.0,1729884.5,1738366.1,1758055.2,1778201.1,1802354.9,1818300.2,1830152.0,1843274.6,1904470.6,1903915.4,1907217.5,1910085.0,1913388.6,1922277.1,1927744.3,1933555.2,1926438.1,1926221.3,1936585.5,1951738.1,1961661.0,1976727.5,1979632.4,1986820.4,1990088.5,2001047.6,2013047.7,2028084.8,2044206.1,2067343.3,2079842.2,2104205.5,2126625.1,2143725.4,2153840.9,2165848.2,2185054.0,2178966.9,2168002.7,2128407.6,2079335.1,2078079.6,2086777.9,2094586.5,2107407.9,2124216.0,2133127.2,2145415.0,2170755.4,2170046.3,2174732.5,2165897.4,2162351.8,2158597.0,2156842.2,2146895.2,2142027.1,2152074.6,2158522.5,2165706.4,2179681.3,2182082.5,2193913.1,2199985.5,2221456.3,2229785.0,2239143.1,2247811.9,2260134.8,2265352.3,2277005.0,2293221.5,2309050.2,2327253.3,2348613.3,2366653.7,2365923.7,2377161.7,2378881.0,2393993.5,2409058.0,2414671.1,2420468.0,2420458.0,2347956.9,2072572.0,2328253.2,2318766.2,2323846.1,2362689.8,2420920.5,2426929.8,2448078.0,2464299.4,2480912.1
TOTAL,B1G,EA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627362.1,1643106.4,1660931.1,1672099.3,1661483.7,1675756.9,1682478.2,1692675.0,1695296.1,1715359.1,1729362.9,1751596.3,1760133.2,1768331.4,1779041.8,1782122.7,1798261.4,1807033.1,1826837.4,1847891.9,1872653.2,1889309.6,1902118.0,1916047.2,1935810.4,1935512.7,1939082.6,1942171.2,1945742.1,1955117.2,1960925.2,1967072.7,1960423.3,1960419.7,1971218.7,1986738.9,1996933.4,2012693.8,2015791.1,2023422.6,2027118.9,2038677.5,2051347.9,2066930.6,2083713.7,2107554.7,2120759.9,2146312.3,2161568.2,2179270.5,2189958.3,2202763.2,2216417.5,2210293.2,2199168.6,2159202.8,2093397.2,2091617.7,2100042.0,2107778.2,2120728.9,2137661.2,2146629.7,2159207.4,2181299.5,2180784.1,2185565.6,2176822.9,2173545.6,2169810.7,2168252.4,2158343.9,2153523.6,2163645.9,2170217.6,2177522.1,2187105.0,2189557.7,2201416.4,2207518.9,2221456.3,2229785.0,2239143.1,2247811.9,2260134.8,2265352.3,2277005.0,2293221.5,2309050.2,2327253.3,2348613.3,2366653.7,2365923.7,2377161.7,2378881.0,2393993.5,2409058.0,2414671.1,2420468.0,2420458.0,2347956.9,2072572.0,2328253.2,2318766.2,2323846.1,2362689.8,2420920.5,2426929.8,2448078.0,2464299.4,2480912.1
TOTAL,B1G,EA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602302.1,1617637.5,1635387.4,1646603.6,1635676.3,1649664.8,1656126.7,1665934.8,1668401.5,1687996.5,1701683.6,1723520.5,1731837.9,1739861.1,1750381.4,1753030.4,1769059.0,1777786.5,1797596.3,1818309.1,1842650.4,1858921.9,1871442.7,1885063.5,1904470.6,1903915.4,1907217.5,1910085.0,1913388.6,1922277.1,1927744.3,1933555.2,1926438.1,1926221.3,1936585.5,1951738.1,1961661.0,1976727.5,1979632.4,1986820.4,1990088.5,2001047.6,2013047.7,2028084.8,2044206.1,2067343.3,2079842.2,2104205.5,2118635.5,2135618.0,2145581.8,2157579.1,2170940.3,2164679.7,2153763.2,2114536.5,2051822.9,2050207.9,2058679.7,2066050.0,2078631.0,2094920.7,2103643.2,2115770.0,2137831.9,2136957.1,2141481.5,2132685.7,2128990.4,2125259.9,2123483.8,2113706.0,2108897.9,2119000.7,2125482.1,2132302.0,2141529.4,2143702.2,2155268.6,2161057.2,2174332.8,2182237.1,2191181.9,2199622.3,2211627.5,2216537.0,2227801.7,2243598.2,2258656.0,2276335.8,2297275.9,2314779.4,2313558.8,2324111.1,2325195.6,2339881.5,2354397.2,2359536.4,2365122.3,2364712.6,2292689.8,2021809.9,2273872.3,2263598.1,2268286.4,2306334.8,2363974.4,2369033.5,2390042.1,2406022.3,2422569.6
TOTAL,B1G,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59312.1,59596.4,59929.1,60049.4,59784.6,60100.6,60335.5,60844.5,61448.5,62337.7,62866.2,63203.7,63336.0,63551.4,63742.4,63896.2,64473.2,65337.3,66265.7,66915.4,67444.8,67924.0,68221.3,68853.3,69150.6,69199.1,69124.5,69091.9,69635.3,70147.1,70503.2,70794.0,70656.0,70789.3,71182.7,71583.5,72470.9,73107.5,73660.3,73984.6,74381.7,74941.9,75276.6,75810.7,76247.8,76534.0,77084.0,77908.9,79060.1,79459.9,80140.4,80576.6,80963.5,81039.0,80657.7,79086.2,78196.9,78226.7,79105.7,79723.7,80192.6,80962.5,81354.0,81836.9,82363.5,82570.4,82826.8,83020.7,83188.4,83242.5,83524.9,83434.5,83164.2,83656.4,83886.6,84058.1,84443.1,84715.3,85363.1,85875.8,86403.3,87010.2,87139.7,87410.0,87348.5,87771.7,87850.0,88270.4,88880.9,89061.8,88975.1,89813.1,90036.8,90471.1,90837.5,91807.8,92044.6,92563.8,93258.2,93746.6,91480.6,81270.1,90188.7,90281.9,91271.8,92551.6,94475.5,95139.2,95786.1,96334.2,96463.8
TOTAL,B1G,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143.8,5833.9,5921.0,6469.8,6488.4,6419.0,6179.8,5998.9,5468.7,5388.5,5318.8,5093.1,5741.8,5348.9,5460.4,5218.0,5071.8,4915.2,4894.8,4857.4,5165.2,5216.9,5261.0,5309.6,5354.7,5401.7,5477.7,5582.5,5710.8,5817.5,5920.2,5951.1,6013.6,6063.7,6102.5,6224.4,6248.5,6351.3,6491.6,6546.4,6684.9,6783.7,6856.3,6971.3,7107.9,7204.3,7390.7,7509.1,7595.8,7770.9,7818.2,8033.0,8197.1,8244.2,8333.5,8333.2,8274.4,8224.2,8235.5,8143.8,8252.6,8290.3,8335.0,8479.4,8447.3,8561.5,8523.5,8480.5,8552.3,8517.2,8486.2,8453.3,8370.2,8346.1,8381.6,8368.8,8378.8,8430.3,8444.9,8581.3,8628.6,8685.0,8769.9,8770.4,8831.4,8906.4,8977.1,9058.7,9142.3,9203.6,9272.4,9349.2,9440.7,9501.9,9598.6,9678.3,9826.4,9919.5,9861.7,9879.8,9804.9,9328.7,9579.3,9327.2,10066.9,10117.0,10332.7,10416.5,10474.7,10580.0,10648.2
TOTAL,B1G,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24639.9,24774.7,24847.3,24855.8,24703.8,24556.3,24357.2,24257.4,24317.5,24400.2,24402.0,24435.9,24423.5,24538.1,24771.8,25071.3,25448.6,25695.1,26068.0,26139.4,26462.8,26543.4,26672.5,26832.9,26894.9,27063.1,27212.4,27417.3,27567.1,27812.6,28095.9,28333.3,28731.6,28994.7,29424.6,29923.8,30405.8,30949.1,31502.4,32241.3,32684.4,33463.5,33882.1,34397.4,34756.8,35121.4,35489.0,36149.2,36548.0,36662.3,36753.5,36364.4,34711.1,34526.1,34718.3,34855.4,35138.2,35577.7,35903.2,36147.1,36180.2,36356.6,36361.0,36372.4,36252.7,36050.9,35924.2,35933.5,35882.8,35984.8,36023.3,36254.6,36559.4,36874.3,37190.6,37638.9,38262.3,38689.9,39177.0,39399.3,39493.9,39541.0,39907.7,40323.5,40969.2,41938.6,42324.2,42628.3,42935.1,43188.7,43564.8,43868.5,44216.4,44569.3,44827.2,45039.7,43731.5,39687.5,42643.9,43154.6,42925.2,43402.1,44100.5,44459.1,44641.2,44830.7,44731.2
TOTAL,B1G,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42136.5,41940.4,42023.7,42284.4,42247.4,43418.2,43495.1,43522.3,44019.4,44737.8,44754.4,44559.9,45294.9,44776.6,45645.0,45812.7,46318.3,46668.8,46909.8,47592.2,48296.5,48952.4,49186.1,49832.8,49146.5,49273.6,49804.6,49694.3,49573.0,49649.4,49812.5,49502.3,49960.9,49446.1,49478.3,50409.7,50529.3,50783.5,50726.3,51196.6,50935.0,51794.6,51837.1,51958.3,52701.0,54236.2,53882.5,53630.2,53650.0,53391.0,53941.3,54541.0,54611.5,54152.1,54019.1,52858.0,52211.8,51139.3,51329.6,51369.6,51685.2,52200.9,53027.9,52926.2,53124.7,53664.5,52934.0,53362.1,53353.7,53432.4,53475.0,53289.3,53629.7,53702.7,54034.7,54146.2,54290.9,54152.6,55101.8,55301.1,55663.1,55903.1,55951.2,56085.7,56676.6,57465.8,58068.4,58492.9,58947.5,59562.2,59335.5,59712.8,59933.9,60215.3,60584.7,60970.3,60659.1,61443.4,61729.6,61447.1,61268.0,57236.2,60442.0,60332.0,61247.8,62258.0,62892.3,64978.5,64741.9,65270.3,65611.1
TOTAL,B1G,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453776.5,449083.5,450147.3,455278.2,462286.3,458532.0,458344.3,455528.5,453573.1,453010.0,454574.2,453886.0,457906.3,460972.3,464726.7,470858.8,468575.1,472391.8,473580.6,474644.3,469106.8,477741.8,478242.4,483623.6,480197.5,486580.1,488394.8,494214.2,496685.6,495121.3,498062.2,496998.5,499704.8,501018.8,506400.0,510342.1,518914.6,522356.0,523982.9,523044.3,534182.2,532555.4,532743.1,533619.1,531491.7,533306.2,534620.3,535809.1,527721.7,527158.6,532602.3,534291.7,533118.5,539000.3,536497.5,536309.7,536387.8,538828.2,542207.2,546462.3,551186.7,560885.2,566016.0,574150.2,576465.9,582597.8,585351.0,590294.1,593829.7,592828.5,588135.5,577497.9,549090.1,549340.4,552719.4,556223.6,564467.4,573790.7,578733.9,583114.0,595597.4,595034.3,601166.0,599226.4,600994.2,602683.6,604185.3,600743.9,599382.9,604326.1,607892.8,611271.7,617591.5,615776.9,619781.6,624161.6,620407.3,624411.9,627290.3,628228.9,634673.9,637739.9,640180.2,641682.0,649441.0,655010.0,662456.1,667399.3,663504.2,666194.8,662690.8,667321.0,672123.6,668807.1,670496.6,671497.9,665943.9,595926.9,652804.0,653367.1,649691.3,657012.2,667587.0,660891.7,671341.4,667524.4,677160.7
TOTAL,B1G,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.3,1664.5,1675.4,1701.9,1708.3,1733.5,1771.5,1813.9,1864.5,1940.9,1997.1,2050.4,2094.4,2089.1,2113.4,2072.8,2085.7,2081.2,2097.7,2143.7,2205.2,2283.4,2279.2,2354.1,2369.3,2399.3,2409.3,2474.5,2456.6,2578.2,2591.8,2641.6,2692.8,2739.1,2774.2,2861.0,2872.1,2920.6,2979.1,3008.4,3121.1,3161.0,3262.9,3331.4,3417.2,3469.5,3568.3,3641.9,3727.3,3769.3,3765.7,3780.3,3704.2,3787.8,3730.7,3394.9,3217.7,3152.4,3071.3,3082.3,3141.1,3190.9,3244.9,3311.6,3398.5,3433.4,3513.9,3482.4,3541.8,3540.0,3596.1,3575.5,3655.2,3579.0,3636.8,3558.1,3666.1,3660.5,3706.8,3750.1,3710.9,3778.3,3807.3,3785.8,3869.9,3834.2,3920.5,3921.7,4057.7,4113.4,4121.2,4214.9,4217.0,4289.7,4300.9,4389.6,4389.2,4420.6,4464.3,4492.8,4642.6,4178.0,4410.8,4547.6,4632.3,4758.4,4809.5,4858.1,4798.3,4766.2,4756.3
TOTAL,B1G,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19485.3,19854.4,20119.4,20400.7,20812.1,21100.9,21003.3,21564.0,22239.4,23067.1,23821.9,23875.6,24784.3,24845.7,26040.8,25493.0,26540.7,26754.7,27753.5,28419.9,28257.1,29233.3,30134.8,31068.4,30574.7,30816.3,30916.8,31251.1,31976.0,32708.7,33101.9,32995.4,32518.4,32936.2,33192.7,34486.4,34369.7,34739.5,34484.8,35686.1,36442.9,36563.3,36812.4,37925.0,37944.9,38749.2,38673.4,39093.6,41126.5,40894.8,41370.0,42115.8,41157.8,40759.1,40428.3,38705.2,38362.3,38305.2,37300.5,36613.8,38138.4,37587.0,38304.2,38383.2,38103.0,38739.4,38589.1,38956.6,37906.8,37451.4,37310.6,37255.8,37098.3,37909.4,38423.5,38388.9,39422.8,41496.3,41277.9,41173.5,51516.6,49380.3,50679.2,51550.2,50466.4,50325.8,49232.6,55829.8,52793.8,52808.2,55630.7,58946.9,58678.0,61255.3,61350.1,61434.3,61082.2,64207.8,65091.2,65770.7,68838.5,63691.6,70631.1,70365.6,74464.0,75063.7,79041.0,79581.1,82982.0,86117.3,87959.4
TOTAL,B1G,EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37657.5,37924.6,38046.7,38248.8,38405.5,38584.8,39134.2,39510.3,39622.4,40361.3,41009.6,41384.8,42212.0,42410.4,42620.6,42928.2,42805.1,43251.5,43398.3,44078.3,44289.2,44595.4,45292.5,45910.8,46439.0,46115.2,46808.2,46985.4,47350.5,48381.3,48724.7,49029.3,50157.1,51080.4,51494.8,52569.1,54022.1,53836.0,54699.8,54594.1,53973.9,54333.0,54871.6,54937.5,56419.7,56450.6,56557.3,58192.5,57494.8,59182.6,58638.2,58334.2,58838.1,58488.6,58392.0,57533.4,55958.5,56555.3,56523.1,56355.9,51550.9,50058.0,48491.4,48541.1,46714.1,45793.8,44965.5,42877.4,43256.9,42543.3,41995.2,41800.2,41230.5,41470.6,41573.3,41744.1,41482.5,41434.5,41651.2,41273.8,41710.0,41568.2,40961.1,41723.8,41042.1,41052.7,41014.4,41502.4,41724.3,41609.1,42363.1,41686.9,42304.9,42526.1,42145.9,42444.6,42566.3,43229.1,42980.0,42728.4,41657.8,36725.8,38423.1,39881.4,41352.0,41494.3,42816.2,42983.3,43795.0,44336.3,44705.7
TOTAL,B1G,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162633.6,163695.8,164353.2,165402.4,166540.8,167707.2,169018.0,169947.9,171503.2,172880.1,175053.6,177202.1,178296.4,180262.5,181740.6,183590.5,185498.5,187703.1,190263.5,192277.7,195566.6,198017.7,200041.0,202562.2,204639.6,205950.3,207825.3,209474.7,210167.2,212018.1,213003.1,214507.3,216494.4,217315.1,218506.6,220329.5,221421.7,223453.0,225520.3,226707.8,229009.6,230797.4,232940.9,235405.0,238127.7,240617.0,243146.2,245598.4,248245.9,250828.3,252958.8,254702.5,255125.3,256013.2,256022.2,252442.7,246206.7,246503.3,247060.4,246750.8,246210.7,246330.9,246375.0,246562.4,246738.8,246303.9,244841.8,243307.6,240889.5,238671.9,237459.3,235839.9,235290.8,235224.7,235089.4,235295.8,235823.9,236570.5,237924.3,239580.8,241967.8,244297.7,246214.7,248544.6,250106.8,251022.7,253161.2,254429.9,256682.6,259430.4,261157.0,262604.0,263611.1,265155.3,266613.4,268464.3,270082.7,271149.9,272059.8,272707.2,257772.9,211032.0,246821.9,246786.9,246017.3,248861.2,256935.1,262645.1,261719.1,265603.3,266943.1
TOTAL,B1G,FR,252836.7,251385.4,252067.6,251432.3,252410.1,253946.2,255750.6,256879.7,259083.1,260732.7,260659.1,262221.5,263272.3,263330.9,263871.1,265465.4,266439.2,267558.8,269548.1,269506.3,269941.9,272489.5,273803.5,274873.3,275527.1,278317.7,279384.3,279633.7,279723.3,283381.9,285148.1,288858.3,292268.6,294754.1,298343.7,300905.0,304866.5,308863.5,312392.5,316661.4,317911.6,319653.2,321387.9,321404.4,321739.7,322964.6,323878.8,326448.4,329252.1,329931.6,329867.4,329119.9,327245.0,326955.4,327505.0,327830.8,329744.0,332703.7,335440.6,338755.4,340225.3,342139.4,343209.7,343434.6,345719.0,346336.1,347664.4,348784.5,349926.6,353344.7,356604.7,360270.5,364093.0,366963.4,369631.3,372098.3,376437.0,377403.6,381063.9,386811.6,390624.6,394882.1,397510.5,400759.1,402797.3,403233.7,404332.1,403996.1,406618.3,408090.5,408821.7,409476.7,409789.2,408848.0,411492.9,414805.0,419387.4,421918.3,423173.0,425810.4,426551.4,427627.1,429736.9,432632.2,436036.3,440759.9,441060.3,444482.2,448315.9,451136.1,453088.6,453973.7,457082.3,454664.3,454278.0,448025.9,440801.8,440750.7,441757.6,444609.8,445815.6,447690.7,450039.4,452994.4,457841.6,457846.1,460104.5,461358.4,461673.6,461620.5,462842.4,462241.0,462575.7,465558.2,465320.1,468355.2,468930.3,469496.1,472295.5,471876.1,473838.4,474181.1,474745.2,475789.9,478628.2,477064.0,478426.8,480815.0,484334.1,487968.5,491971.9,495272.6,495417.1,497736.6,499591.8,502855.7,506529.3,510043.5,509765.7,507863.2,480942.0,415733.1,489563.8,485387.0,485791.5,491062.7,506815.8,510050.2,509530.4,512009.6,513052.3
TOTAL,B1G,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6184.9,6265.9,6329.4,6526.1,6598.1,6648.1,6730.9,6858.2,7009.7,7180.2,7244.0,7278.5,7251.4,7307.6,7424.4,7390.2,7361.7,7367.0,7308.0,7267.8,7510.6,7387.3,7467.9,7601.8,7694.9,7727.8,7736.4,7871.0,8007.0,8053.6,8244.6,8363.2,8482.3,8631.2,8723.8,8773.1,8912.6,8990.5,9045.3,9139.4,9126.3,9422.3,9473.7,9575.2,9663.8,9770.6,9929.6,9992.5,10251.2,10306.6,10422.3,10304.4,10629.8,10666.9,10551.2,10268.5,9975.3,9946.4,9813.7,9798.9,9666.4,9679.7,9760.8,9755.0,9715.8,9786.2,9774.5,9722.4,9468.1,9431.4,9423.4,9379.1,9392.3,9384.0,9356.8,9306.7,9332.7,9317.2,9287.6,9355.7,9426.7,9541.7,9608.7,9637.8,9772.5,9852.0,9943.6,10042.7,10094.2,10167.7,10253.4,10250.1,10324.5,10455.9,10487.0,10540.2,10825.4,10904.4,10847.6,10758.1,10713.8,9384.7,9840.3,10233.8,11022.9,11145.4,11396.9,11570.4,11871.4,12228.5,12020.2
TOTAL,B1G,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321438.2,320861.2,321181.2,319935.1,321033.8,324831.0,326856.7,332873.4,330187.0,331987.9,332409.5,330537.6,332770.6,333778.0,336703.9,341751.9,345848.8,348599.6,350578.4,355624.8,357548.5,356202.7,355196.8,354633.8,355356.4,356770.2,357518.6,359064.4,357639.3,357017.2,356622.3,359921.5,361086.1,362723.1,362604.6,363943.1,362899.3,365796.3,367969.7,368751.1,369481.4,372283.0,374201.9,379046.7,377960.6,379036.9,379915.9,378850.7,383883.0,380405.6,375558.0,365270.7,355667.3,353699.6,355840.7,357123.9,358615.3,361277.8,362934.8,364811.9,366828.2,366858.5,365079.5,361944.9,358449.7,356243.7,354475.7,351890.0,349227.5,349475.0,350292.6,349527.6,350345.6,350218.3,350629.0,349368.4,350717.7,352182.0,352834.1,354965.1,356216.5,356868.2,358826.4,359895.4,361535.0,363039.1,364687.8,366674.6,366257.3,366467.7,366950.8,367677.5,368252.5,369200.9,369468.4,367569.2,346682.9,305554.8,349963.5,346816.1,347541.3,356126.1,366163.8,368907.6,369549.7,373675.4,375101.3
TOTAL,B1G,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487.3,2523.4,2523.5,2502.9,2549.4,2532.8,2530.8,2549.5,2564.5,2583.6,2625.8,2657.0,2705.3,2742.5,2798.9,2821.5,2859.6,2882.2,2912.6,2967.1,3003.5,3105.9,3085.9,3119.5,3125.0,3160.8,3250.3,3265.3,3255.9,3328.8,3310.9,3382.5,3370.5,3354.1,3431.0,3470.8,3515.9,3546.6,3604.2,3644.5,3690.7,3720.7,3780.6,3813.8,3851.3,3921.6,3945.8,3994.5,4060.8,4093.9,4146.1,4213.3,4264.6,4296.3,4296.1,4259.5,4197.2,4186.1,4180.4,4207.8,4255.9,4269.3,4311.1,4324.2,4329.3,4357.1,4264.1,4281.4,4256.7,4191.0,4137.5,4052.7,3957.2,3865.6,3868.3,3850.8,3829.6,3811.0,3809.6,3815.6,3867.7,3908.8,3955.9,4031.2,4122.5,4160.7,4207.0,4309.7,4377.0,4418.3,4451.8,4518.8,4633.5,4661.5,4697.3,4780.8,4888.0,4943.7,4983.1,5022.8,4985.2,4423.9,4690.6,4870.6,4950.8,4990.1,5094.9,5193.9,5276.3,5304.6,5369.6
